                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2098,                 1.5399,                 1.2454,                 1.2492,                 3.2486,                 1.1981,                0.87966,                0.86206,                0.93165,                0.62528,                 1.1554,                0.97017,                 1.1754,                 1.2018,                  1.057,                 1.1959,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.2029,                0.81719,                 1.1834,                 1.3286,                0.87341,                 1.2047,                0.92837,                0.89461,                0.94538,                0.63462,                 1.1467,                 0.6528,                 1.1647,                 1.2362,                 0.6117,                 1.1998,              0.0065978,              0.0065978,              0.0065978
                      3,                 1.2301,                0.74286,                 1.2117,                 1.3903,                0.78015,                 1.2412,                0.92332,                0.79674,                0.91236,                0.59203,                 1.1782,                0.73922,                 1.2022,                 1.2859,                0.71426,                 1.2614,              0.0097992,              0.0097992,              0.0097992
                      4,                  1.232,                0.70784,                 1.2111,                 1.3938,                0.73375,                 1.2346,                0.94159,                0.89185,                0.94341,                 0.5832,                 1.2871,                0.60548,                 1.2539,                 1.3974,                0.56437,                 1.2831,               0.009703,               0.009703,               0.009703
                      5,                  1.196,                0.65016,                 1.1891,                 1.3435,                0.67191,                 1.2123,                0.95492,                0.89794,                0.96147,                0.65165,                 1.1443,                0.53348,                 1.1647,                 1.2135,                0.46401,                 1.1811,               0.009703,               0.009703,               0.009703
                      6,                 1.1721,                0.61399,                 1.1749,                 1.3025,                0.62145,                 1.1887,                0.92754,                0.92717,                0.96275,                0.65701,                 1.1317,                0.49913,                 1.1548,                 1.1866,                 0.4574,                 1.1647,               0.009604,               0.009604,               0.009604
                      7,                 1.1615,                0.59727,                 1.1631,                  1.297,                0.58555,                 1.1763,                0.96133,                0.93098,                0.96629,                0.65918,                 1.1305,                0.50441,                 1.1547,                 1.1937,                0.44178,                 1.1609,               0.009505,               0.009505,               0.009505
                      8,                 1.1458,                0.57583,                 1.1542,                 1.2678,                0.56522,                 1.1581,                0.95317,                0.93098,                0.96583,                0.66077,                 1.1514,                0.48419,                  1.154,                 1.1869,                0.42418,                 1.1479,               0.009406,               0.009406,               0.009406
                      9,                 1.1404,                0.56567,                 1.1536,                  1.261,                0.54292,                 1.1537,                0.96173,                0.92866,                0.97022,                0.66321,                 1.1272,                0.47258,                  1.147,                 1.1787,                0.41073,                 1.1373,               0.009307,               0.009307,               0.009307
                     10,                 1.1305,                0.55194,                 1.1454,                 1.2458,                0.53008,                 1.1492,                0.96239,                0.93043,                0.97316,                0.67821,                 1.1018,                0.45087,                 1.1313,                 1.1419,                0.39633,                 1.1272,               0.009208,               0.009208,               0.009208
                     11,                 1.1222,                0.54154,                 1.1421,                 1.2371,                0.50588,                 1.1441,                0.97477,                0.93804,                0.97536,                0.68001,                 1.1018,                0.44258,                  1.131,                 1.1503,                 0.3818,                 1.1337,               0.009109,               0.009109,               0.009109
                     12,                 1.1158,                0.53454,                 1.1395,                 1.2245,                 0.5013,                 1.1261,                0.97067,                0.93518,                0.97343,                0.67339,                 1.1117,                0.44121,                 1.1365,                 1.1684,                0.38406,                   1.13,                0.00901,                0.00901,                0.00901
                     13,                 1.1085,                0.52841,                 1.1338,                 1.2212,                0.48925,                 1.1231,                0.97465,                0.94045,                0.97829,                 0.6852,                 1.1032,                 0.4264,                 1.1319,                 1.1357,                0.36039,                 1.1187,               0.008911,               0.008911,               0.008911
                     14,                 1.1056,                0.52347,                 1.1288,                 1.2083,                0.48766,                 1.1184,                 0.9777,                0.93804,                0.97619,                 0.6869,                 1.0909,                0.41588,                 1.1152,                 1.1296,                0.37203,                 1.1072,               0.008812,               0.008812,               0.008812
                     15,                 1.0993,                0.51668,                 1.1247,                  1.201,                0.48623,                 1.1151,                0.97753,                0.93913,                0.97621,                 0.6914,                 1.0875,                0.42176,                 1.1171,                 1.1244,                0.36437,                 1.1082,               0.008713,               0.008713,               0.008713
                     16,                 1.0923,                0.50888,                 1.1178,                 1.1988,                0.47851,                  1.108,                 0.9645,                0.94239,                0.97686,                0.69025,                 1.0747,                 0.3982,                 1.1089,                 1.1101,                0.36887,                 1.0959,               0.008614,               0.008614,               0.008614
                     17,                 1.0873,                0.50066,                 1.1149,                 1.1932,                0.47703,                 1.1093,                0.96182,                0.94348,                0.97953,                 0.6895,                 1.0863,                0.40195,                 1.1146,                 1.1258,                0.36031,                 1.1007,               0.008515,               0.008515,               0.008515
                     18,                 1.0807,                0.49986,                 1.1138,                 1.1836,                0.46161,                 1.0995,                0.97464,                0.96091,                0.98033,                0.69233,                 1.0834,                0.39601,                 1.1141,                 1.1157,                0.33856,                 1.0966,               0.008416,               0.008416,               0.008416
                     19,                 1.0844,                0.49378,                 1.1168,                 1.1834,                0.44835,                 1.1021,                0.97422,                0.95217,                0.98012,                 0.6945,                 1.0771,                 0.3895,                 1.1101,                 1.1077,                0.34667,                  1.097,               0.008317,               0.008317,               0.008317
                     20,                  1.081,                0.49421,                 1.1119,                 1.1797,                0.45531,                 1.1034,                0.96991,                0.94584,                0.98099,                0.69465,                  1.075,                0.39167,                 1.1076,                 1.1074,                0.34811,                 1.0948,               0.008218,               0.008218,               0.008218
                     21,                 1.0707,                0.48854,                 1.1034,                 1.1691,                0.44481,                 1.0932,                0.98306,                0.94632,                0.98244,                0.69988,                 1.0666,                0.38764,                 1.1052,                 1.1015,                0.33787,                  1.092,               0.008119,               0.008119,               0.008119
                     22,                 1.0725,                0.48413,                 1.1072,                 1.1705,                0.44601,                 1.0948,                0.98032,                0.95272,                0.98126,                0.69618,                 1.0692,                0.38496,                 1.1039,                  1.103,                 0.3317,                 1.0922,                0.00802,                0.00802,                0.00802
                     23,                 1.0667,                0.48366,                 1.1028,                  1.164,                0.43819,                 1.0912,                0.98595,                 0.9532,                 0.9845,                0.69812,                 1.0719,                0.37632,                 1.1064,                 1.1005,                 0.3294,                 1.0878,               0.007921,               0.007921,               0.007921
                     24,                 1.0616,                0.47802,                 1.1052,                 1.1553,                 0.4305,                 1.0896,                0.97783,                0.95878,                0.98127,                0.70125,                 1.0596,                0.37107,                 1.1017,                 1.0916,                0.33045,                 1.0858,               0.007822,               0.007822,               0.007822
                     25,                 1.0626,                0.47541,                 1.0994,                 1.1587,                0.42807,                 1.0875,                0.98213,                0.95602,                0.98243,                0.70178,                 1.0578,                0.37171,                 1.0987,                   1.09,                0.33246,                 1.0838,               0.007723,               0.007723,               0.007723
                     26,                 1.0609,                0.47638,                 1.1018,                 1.1567,                0.43467,                 1.0891,                0.97985,                 0.9516,                0.98243,                0.70003,                 1.0653,                 0.3713,                 1.1002,                  1.094,                0.33446,                 1.0815,               0.007624,               0.007624,               0.007624
                     27,                  1.056,                0.47008,                 1.1031,                 1.1525,                0.43004,                 1.0859,                 0.9771,                 0.9509,                0.97995,                0.69684,                  1.066,                0.36581,                 1.1012,                 1.0962,                0.33585,                 1.0854,               0.007525,               0.007525,               0.007525
                     28,                 1.0556,                0.47107,                 1.1002,                 1.1449,                0.43338,                 1.0844,                0.96758,                0.95694,                0.98366,                0.70036,                 1.0621,                0.36874,                 1.0974,                 1.0938,                 0.3352,                 1.0806,               0.007426,               0.007426,               0.007426
                     29,                 1.0548,                0.46932,                 1.0937,                  1.147,                0.44012,                 1.0844,                0.97649,                0.94803,                0.98122,                0.70117,                 1.0595,                0.36411,                 1.0971,                 1.0848,                0.34019,                 1.0862,               0.007327,               0.007327,               0.007327
                     30,                 1.0475,                0.46369,                 1.0935,                 1.1382,                0.43195,                 1.0843,                 0.9707,                 0.9587,                0.98323,                0.70149,                 1.0611,                0.35913,                 1.0976,                 1.0885,                0.33508,                 1.0846,               0.007228,               0.007228,               0.007228
                     31,                 1.0446,                0.46066,                 1.0935,                  1.134,                0.41983,                 1.0814,                0.97898,                0.95761,                0.98554,                0.70326,                 1.0626,                0.35888,                 1.0973,                 1.0905,                0.32475,                 1.0856,               0.007129,               0.007129,               0.007129
                     32,                 1.0437,                0.45967,                 1.0925,                 1.1349,                0.41821,                 1.0801,                0.97665,                0.95462,                0.98437,                0.70405,                 1.0601,                0.35368,                 1.0975,                 1.0839,                0.33159,                 1.0837,                0.00703,                0.00703,                0.00703
                     33,                 1.0423,                0.45789,                 1.0885,                 1.1293,                0.41089,                  1.078,                0.97739,                0.95707,                0.98419,                0.70335,                 1.0592,                0.35306,                 1.0947,                 1.0842,                0.32837,                 1.0826,               0.006931,               0.006931,               0.006931
                     34,                 1.0404,                0.45527,                 1.0919,                  1.129,                0.40366,                 1.0768,                 0.9823,                 0.9538,                0.98305,                  0.701,                 1.0654,                0.35346,                 1.0986,                 1.0905,                0.32341,                 1.0821,               0.006832,               0.006832,               0.006832
                     35,                 1.0355,                0.45339,                 1.0858,                 1.1245,                0.40564,                 1.0744,                0.98772,                0.95815,                0.98645,                0.70605,                 1.0624,                0.35175,                 1.0969,                 1.0865,                0.31371,                 1.0799,               0.006733,               0.006733,               0.006733
                     36,                 1.0333,                0.45069,                 1.0867,                 1.1171,                0.41009,                 1.0707,                0.98054,                0.95848,                0.98485,                0.70724,                 1.0592,                0.34937,                 1.0948,                 1.0845,                0.31616,                 1.0773,               0.006634,               0.006634,               0.006634
                     37,                 1.0307,                0.44834,                 1.0855,                 1.1141,                0.40076,                 1.0715,                0.97758,                0.96033,                0.98616,                0.70474,                 1.0611,                0.35112,                 1.0943,                 1.0867,                0.32106,                 1.0789,               0.006535,               0.006535,               0.006535
                     38,                  1.034,                0.45227,                 1.0845,                 1.1213,                0.40725,                 1.0723,                0.97957,                0.95924,                0.98511,                 0.7057,                 1.0637,                 0.3494,                 1.0955,                  1.088,                0.32419,                 1.0807,               0.006436,               0.006436,               0.006436
