                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2217,                 1.3847,                 1.1026,                0.96734,                0.93361,                0.95803,                0.61652,                 1.1633,                0.84189,                 1.0302,              0.0033276,              0.0033276,              0.0033276
                      2,                 1.1987,                0.74585,                 1.0645,                0.97948,                0.93398,                0.96314,                0.64055,                 1.1618,                0.63429,                 1.0288,              0.0066477,              0.0066477,              0.0066477
                      3,                 1.2242,                0.71327,                 1.0835,                0.94537,                0.90291,                0.94129,                0.57126,                 1.3072,                0.73301,                 1.1269,              0.0099547,              0.0099547,              0.0099547
                      4,                 1.2322,                0.69995,                 1.1031,                0.97213,                 0.9125,                0.95041,                0.62621,                 1.2249,                0.61803,                 1.0892,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.2017,                0.65221,                 1.0999,                0.98227,                0.93355,                0.96236,                0.66923,                 1.1373,                0.56223,                 1.0458,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.1699,                0.61736,                 1.0871,                0.97061,                0.94185,                0.96604,                 0.6708,                 1.1198,                 0.5283,                 1.0352,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.1606,                0.60162,                 1.0767,                0.97576,                0.94061,                0.96778,                0.67591,                 1.1174,                0.50719,                 1.0491,               0.009901,               0.009901,               0.009901
                      8,                 1.1428,                0.57782,                 1.0745,                0.98068,                0.93773,                0.96912,                 0.6824,                 1.1151,                0.48755,                  1.037,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.1384,                0.56886,                  1.066,                  0.983,                0.94293,                0.97105,                0.68303,                 1.1066,                0.49319,                 1.0395,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.1325,                 0.5654,                 1.0715,                0.98398,                0.94728,                0.97269,                 0.6817,                 1.1087,                0.48674,                 1.0325,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.1238,                0.55417,                 1.0639,                0.98448,                0.94728,                0.97237,                0.68527,                 1.1049,                0.46786,                 1.0425,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.1144,                0.54253,                 1.0621,                0.97864,                0.94599,                0.97081,                 0.6934,                 1.0969,                0.47482,                 1.0341,               0.009802,               0.009802,               0.009802
                     13,                 1.1115,                0.54019,                 1.0617,                0.98686,                0.94511,                0.97461,                 0.6953,                  1.084,                0.45697,                 1.0311,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.1068,                0.53195,                 1.0594,                0.98591,                0.95075,                0.97504,                 0.6927,                 1.0851,                  0.448,                 1.0333,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.0969,                0.52382,                 1.0542,                0.98753,                0.94656,                0.97621,                0.69282,                 1.0887,                0.44393,                 1.0132,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.0967,                0.51979,                 1.0491,                0.99091,                0.94747,                 0.9766,                0.69427,                 1.0856,                0.43579,                  1.017,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.0965,                0.51718,                 1.0487,                 0.9925,                0.94783,                0.97463,                 0.6965,                 1.0769,                 0.4308,                 1.0217,               0.009703,               0.009703,               0.009703
                     18,                 1.0919,                0.51502,                 1.0535,                0.98702,                0.95068,                0.97693,                0.69858,                 1.0753,                0.43176,                 1.0182,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.0864,                0.51307,                 1.0498,                0.98811,                0.94868,                0.97763,                0.70153,                 1.0707,                0.41717,                 1.0203,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.0782,                0.50266,                 1.0412,                0.98612,                   0.95,                0.97754,                0.69992,                 1.0643,                0.41517,                 1.0149,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.0734,                0.49852,                 1.0394,                0.99148,                 0.9487,                0.97888,                0.70238,                  1.064,                0.41391,                 1.0159,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.0771,                0.50136,                 1.0398,                0.98646,                0.95031,                0.97723,                0.70323,                 1.0648,                0.40592,                  1.012,               0.009604,               0.009604,               0.009604
                     23,                 1.0707,                0.49662,                 1.0369,                0.98778,                0.95326,                 0.9813,                0.70905,                 1.0693,                0.39934,                 1.0119,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.0726,                0.49442,                 1.0421,                0.98765,                0.94946,                0.97896,                0.70949,                 1.0623,                0.39774,                 1.0113,              0.0095644,              0.0095644,              0.0095644
                     25,                 1.0616,                0.49019,                 1.0345,                0.98703,                0.95137,                0.98009,                0.71121,                 1.0629,                0.38981,                  1.012,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.0598,                0.48813,                 1.0353,                0.98953,                0.95109,                0.98275,                0.71046,                 1.0609,                0.39367,                 1.0193,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.0622,                0.48732,                 1.0372,                0.98647,                0.95097,                0.98226,                0.70751,                 1.0603,                 0.3915,                  1.011,               0.009505,               0.009505,               0.009505
                     28,                 1.0553,                0.48425,                 1.0328,                0.99239,                0.94837,                0.98237,                0.70829,                 1.0604,                0.39339,                 1.0147,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.0545,                0.48075,                 1.0325,                0.98601,                0.95753,                0.98179,                0.71174,                 1.0543,                0.37927,                 1.0128,              0.0094654,              0.0094654,              0.0094654
                     30,                 1.0574,                0.48272,                 1.0357,                0.98271,                0.95766,                0.98238,                0.71036,                 1.0637,                0.38813,                 1.0162,              0.0094456,              0.0094456,              0.0094456
                     31,                 1.0502,                0.47883,                 1.0335,                 0.9837,                 0.9587,                0.98313,                0.71251,                 1.0569,                0.38311,                 1.0168,              0.0094258,              0.0094258,              0.0094258
                     32,                 1.0525,                0.47598,                 1.0268,                0.98214,                0.96196,                0.98321,                0.71419,                 1.0505,                0.37875,                 1.0026,               0.009406,               0.009406,               0.009406
                     33,                 1.0507,                0.47777,                 1.0325,                0.98851,                0.95543,                0.98395,                0.71519,                 1.0488,                0.37359,                 1.0095,              0.0093862,              0.0093862,              0.0093862
                     34,                 1.0429,                0.47426,                 1.0252,                0.98694,                0.95598,                0.98352,                0.71652,                  1.044,                0.37261,                 1.0027,              0.0093664,              0.0093664,              0.0093664
                     35,                 1.0465,                0.47639,                 1.0274,                0.98789,                0.95652,                0.98249,                0.71366,                 1.0494,                0.37009,                 1.0051,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.0403,                0.46848,                 1.0295,                0.98607,                0.95543,                0.98372,                0.71475,                 1.0496,                0.36969,                 1.0097,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.0437,                0.46741,                 1.0266,                0.98546,                0.95786,                0.98339,                 0.7164,                 1.0472,                 0.3651,                 1.0096,               0.009307,               0.009307,               0.009307
                     38,                 1.0389,                0.46832,                 1.0241,                0.98698,                 0.9538,                 0.9839,                0.71434,                  1.049,                0.36835,                 1.0071,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.0443,                0.47018,                 1.0269,                0.98793,                0.95707,                0.98493,                0.71638,                 1.0478,                0.36618,                  1.002,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.0416,                0.46674,                 1.0276,                0.98711,                 0.9571,                0.98453,                 0.7161,                 1.0501,                0.36342,                 1.0032,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.0398,                0.46546,                  1.023,                0.99019,                 0.9538,                0.98414,                0.71538,                 1.0481,                0.36365,                 1.0006,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.0306,                0.45911,                 1.0241,                0.98714,                0.95939,                0.98437,                0.71577,                 1.0497,                0.36167,                  1.004,               0.009208,               0.009208,               0.009208
                     43,                 1.0307,                0.45978,                  1.025,                0.98456,                0.96141,                0.98476,                 0.7162,                 1.0492,                0.36033,                 1.0069,              0.0091882,              0.0091882,              0.0091882
                     44,                  1.037,                0.45941,                 1.0228,                0.98662,                0.96184,                0.98474,                0.71629,                  1.049,                0.36037,                 1.0044,              0.0091684,              0.0091684,              0.0091684
                     45,                  1.026,                0.45666,                  1.023,                  0.985,                0.96467,                0.98467,                0.71551,                 1.0503,                0.35913,                 1.0052,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.0234,                0.45719,                 1.0216,                0.98282,                0.96364,                0.98462,                0.71723,                 1.0495,                0.35846,                 1.0016,              0.0091288,              0.0091288,              0.0091288
                     47,                 1.0331,                0.45719,                  1.022,                0.98326,                0.96359,                0.98472,                0.71635,                 1.0489,                0.35642,                 0.9998,               0.009109,               0.009109,               0.009109
                     48,                 1.0276,                0.45675,                 1.0221,                0.98386,                0.96467,                0.98499,                0.71799,                 1.0493,                0.35544,                 1.0005,              0.0090892,              0.0090892,              0.0090892
                     49,                 1.0221,                0.45777,                 1.0171,                0.98284,                0.96514,                0.98432,                0.71738,                 1.0504,                0.35569,                 1.0004,              0.0090694,              0.0090694,              0.0090694
                     50,                 1.0264,                0.45449,                   1.02,                0.98308,                0.96467,                0.98466,                0.71764,                 1.0502,                0.35567,                 1.0007,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.0235,                0.45224,                 1.0208,                0.98499,                0.96292,                0.98424,                0.71781,                 1.0497,                0.35534,                 1.0023,              0.0090298,              0.0090298,              0.0090298
                     52,                 1.0174,                0.44969,                 1.0176,                0.98555,                0.96351,                0.98424,                0.71792,                 1.0498,                0.35538,                 1.0023,                0.00901,                0.00901,                0.00901
                     53,                 1.0264,                 0.4526,                 1.0166,                0.98448,                0.96467,                0.98431,                0.71774,                 1.0497,                0.35431,                 1.0016,              0.0089902,              0.0089902,              0.0089902
                     54,                 1.0192,                0.45087,                 1.0133,                0.98446,                0.96426,                0.98377,                0.71628,                   1.05,                0.35453,                  1.001,              0.0089704,              0.0089704,              0.0089704
                     55,                 1.0221,                0.45431,                  1.014,                0.98462,                0.96413,                0.98396,                0.71707,                 1.0494,                0.35542,                0.99974,              0.0089506,              0.0089506,              0.0089506
                     56,                 1.0184,                0.45154,                 1.0132,                0.98335,                0.96467,                0.98408,                 0.7166,                 1.0495,                0.35467,                0.99977,              0.0089308,              0.0089308,              0.0089308
                     57,                 1.0215,                0.44926,                 1.0143,                0.98323,                0.96522,                0.98446,                0.71623,                 1.0495,                0.35391,                0.99982,               0.008911,               0.008911,               0.008911
                     58,                 1.0143,                0.44679,                 1.0136,                0.98444,                0.96288,                0.98449,                0.71778,                 1.0493,                0.35317,                0.99943,              0.0088912,              0.0088912,              0.0088912
                     59,                 1.0144,                 0.4487,                 1.0136,                0.98489,                 0.9625,                0.98444,                0.71639,                 1.0492,                0.35379,                0.99947,              0.0088714,              0.0088714,              0.0088714
                     60,                 1.0131,                0.44933,                 1.0165,                0.98497,                0.96192,                0.98457,                0.71598,                 1.0496,                0.35335,                0.99995,              0.0088516,              0.0088516,              0.0088516
                     61,                 1.0073,                 0.4451,                 1.0038,                0.98442,                0.96159,                0.98463,                0.71662,                 1.0493,                0.35319,                0.99883,              0.0088318,              0.0088318,              0.0088318
                     62,                 1.0117,                0.44664,                 1.0104,                0.98495,                0.96087,                0.98452,                0.71754,                  1.049,                0.35288,                0.99812,               0.008812,               0.008812,               0.008812
                     63,                 1.0151,                 0.4436,                 1.0138,                0.98443,                0.96195,                0.98448,                0.71685,                 1.0491,                0.35298,                0.99856,              0.0087922,              0.0087922,              0.0087922
                     64,                 1.0069,                0.44362,                 1.0086,                0.98442,                0.96127,                 0.9845,                0.71741,                 1.0491,                0.35248,                0.99801,              0.0087724,              0.0087724,              0.0087724
                     65,                 1.0109,                0.44297,                 1.0083,                0.98442,                0.96122,                 0.9846,                0.71718,                 1.0491,                 0.3524,                0.99753,              0.0087526,              0.0087526,              0.0087526
                     66,                 1.0087,                0.44389,                 1.0059,                0.98276,                0.96052,                 0.9846,                 0.7176,                  1.049,                0.35219,                  0.997,              0.0087328,              0.0087328,              0.0087328
                     67,                 1.0061,                0.44337,                 1.0092,                0.98368,                0.96087,                0.98457,                0.71705,                 1.0489,                0.35177,                0.99699,               0.008713,               0.008713,               0.008713
                     68,                   1.01,                0.44233,                 1.0165,                0.98294,                0.95978,                0.98449,                0.71702,                 1.0491,                0.35144,                0.99713,              0.0086932,              0.0086932,              0.0086932
                     69,                 1.0092,                0.44141,                 1.0179,                0.98223,                0.96151,                0.98445,                0.71755,                 1.0492,                0.35112,                0.99746,              0.0086734,              0.0086734,              0.0086734
                     70,                 1.0003,                0.43989,                 1.0122,                0.98449,                0.95924,                0.98439,                0.71794,                 1.0493,                0.35092,                0.99754,              0.0086536,              0.0086536,              0.0086536
                     71,                 1.0026,                 0.4384,                 1.0172,                0.98384,                0.95955,                0.98443,                0.71838,                 1.0494,                0.35065,                0.99762,              0.0086338,              0.0086338,              0.0086338
                     72,                 1.0025,                0.44095,                 1.0051,                0.98499,                 0.9587,                0.98463,                0.71957,                 1.0493,                0.35029,                0.99718,               0.008614,               0.008614,               0.008614
                     73,                0.99496,                0.43607,                 1.0112,                0.98226,                0.95978,                0.98475,                0.71932,                 1.0492,                0.34996,                0.99715,              0.0085942,              0.0085942,              0.0085942
                     74,                 1.0016,                0.43999,                 1.0082,                0.98138,                 0.9625,                0.98462,                0.71905,                 1.0491,                0.34921,                0.99674,              0.0085744,              0.0085744,              0.0085744
                     75,                 1.0021,                0.44033,                  1.013,                0.97948,                0.96467,                0.98466,                0.71923,                  1.049,                0.34889,                0.99681,              0.0085546,              0.0085546,              0.0085546
                     76,                 1.0038,                0.44099,                 1.0147,                0.98012,                0.96459,                0.98476,                0.71911,                 1.0488,                0.34876,                0.99682,              0.0085348,              0.0085348,              0.0085348
                     77,                 1.0012,                0.44024,                 1.0192,                0.97865,                0.96522,                 0.9848,                0.72026,                 1.0488,                0.34848,                0.99742,               0.008515,               0.008515,               0.008515
                     78,                0.99952,                0.43969,                 1.0168,                0.97863,                0.96522,                0.98483,                0.71986,                 1.0485,                0.34855,                0.99799,              0.0084952,              0.0084952,              0.0084952
                     79,                0.99783,                0.43882,                 1.0116,                0.97947,                0.96522,                0.98482,                0.71984,                 1.0484,                0.34845,                0.99839,              0.0084754,              0.0084754,              0.0084754
                     80,                  0.998,                0.43619,                 1.0196,                0.97944,                0.96522,                0.98477,                0.71943,                 1.0486,                0.34861,                0.99929,              0.0084556,              0.0084556,              0.0084556
                     81,                 0.9935,                0.43591,                 1.0118,                0.97958,                0.96465,                0.98479,                0.71917,                 1.0491,                 0.3484,                 1.0003,              0.0084358,              0.0084358,              0.0084358
                     82,                0.98473,                0.43184,                 1.0055,                0.97958,                0.96449,                0.98486,                0.71917,                 1.0492,                0.34813,                 1.0005,               0.008416,               0.008416,               0.008416
                     83,                0.99556,                0.43509,                  1.018,                0.98031,                0.96359,                0.98487,                0.71945,                 1.0493,                0.34795,                 1.0011,              0.0083962,              0.0083962,              0.0083962
                     84,                 0.9902,                 0.4316,                 1.0086,                0.97986,                0.96467,                0.98489,                0.71962,                 1.0495,                0.34771,                 1.0016,              0.0083764,              0.0083764,              0.0083764
                     85,                0.99002,                0.43279,                 1.0083,                0.97943,                0.96467,                0.98504,                0.72005,                 1.0495,                0.34758,                 1.0019,              0.0083566,              0.0083566,              0.0083566
                     86,                0.99312,                0.43311,                  1.012,                0.97951,                0.96467,                0.98455,                0.72019,                 1.0494,                0.34736,                 1.0021,              0.0083368,              0.0083368,              0.0083368
                     87,                 0.9901,                0.43183,                 1.0091,                0.97913,                0.96467,                 0.9845,                0.72075,                 1.0494,                0.34731,                 1.0024,               0.008317,               0.008317,               0.008317
                     88,                0.98511,                0.42884,                 1.0046,                0.98105,                0.96304,                0.98453,                0.72018,                 1.0494,                0.34738,                 1.0026,              0.0082972,              0.0082972,              0.0082972
